Date,Time,Ia,Ig,Ia 2nd Limit,Ia 1st Limit,Conv_Speed,Product_Temp,Electrode_Set,Electrode_Act
25/03/2025,10:59:16,0.01,0.68,1.7,1.5,0.2,19,75,107.1
25/03/2025,10:59:21,0.24,0.69,1.7,1.5,0.2,20,75,83.1
25/03/2025,10:59:26,0.22,0.62,1.7,1.5,0.2,20,75,75.2
25/03/2025,10:59:31,0.22,0.62,1.7,1.5,0.2,21,75,75.2
25/03/2025,10:59:36,0.22,0.62,1.7,1.5,0.2,21,75,75.2
25/03/2025,10:59:41,0.23,0.63,1.7,1.5,0.2,21,75,75.2
25/03/2025,10:59:46,0.22,0.63,1.7,1.5,0.2,22,75,75.2
25/03/2025,10:59:51,0.23,0.63,1.7,1.5,0.2,22,75,75.2
25/03/2025,10:59:56,0.23,0.63,1.7,1.5,0.2,22,75,75.2
25/03/2025,11:00:01,0.24,0.63,1.7,1.5,0.2,23,75,75.2
25/03/2025,11:00:06,0.25,0.64,1.7,1.5,0.2,23,75,75.2
25/03/2025,11:00:11,0.25,0.64,1.7,1.5,0.2,23,75,75.2
25/03/2025,11:00:16,0.25,0.64,1.7,1.5,0.2,23,75,75.2
25/03/2025,11:00:21,0.25,0.64,1.7,1.5,0.2,24,75,75.2
25/03/2025,11:00:26,0.26,0.64,1.7,1.5,0.2,24,75,75.2
25/03/2025,11:00:31,0.26,0.65,1.7,1.5,0.2,24,75,75.2
25/03/2025,11:00:36,0.26,0.65,1.7,1.5,0.2,24,75,75.2
25/03/2025,11:00:41,0.26,0.65,1.7,1.5,0.2,24,75,75.2
25/03/2025,11:00:46,0.27,0.65,1.7,1.5,0.2,25,75,75.2
25/03/2025,11:00:51,0.27,0.65,1.7,1.5,0.2,25,75,75.2
25/03/2025,11:00:56,0.27,0.65,1.7,1.5,0.2,25,75,75.2
25/03/2025,11:01:01,0.27,0.65,1.7,1.5,0.2,25,75,75.2
25/03/2025,11:01:06,0.28,0.65,1.7,1.5,0.2,25,75,75.2
25/03/2025,11:01:11,0.28,0.65,1.7,1.5,0.2,26,75,75.2
